N,t_h,m
7,1.810648124961157,0.5714285714285714
7,1.8455174316635408,0.7142857142857143
7,1.8617402608832978,0.8571428571428571
7,1.8748770001391013,0.7142857142857143
7,1.8800045336751068,0.8571428571428571
7,1.9055850317592997,0.7142857142857143
7,1.9394087850041768,0.5714285714285714
7,1.9416477902415405,0.42857142857142855
7,1.9416781749317502,0.5714285714285714
7,1.959560216784856,0.7142857142857143
7,2.0098693914284906,0.5714285714285714
7,2.0146933025758247,0.7142857142857143
7,2.0285995261788994,0.8571428571428571
7,2.0447377262508364,1.0
7,2.199531166973435,0.8571428571428571
7,2.211969594724983,0.7142857142857143
7,2.235055676758569,0.8571428571428571
7,2.2442903716709908,0.7142857142857143
7,2.3672623200685954,0.5714285714285714
7,2.376617966123161,0.7142857142857143
7,2.4866049438121305,0.5714285714285714
7,2.5638365290487117,0.42857142857142855
7,2.575848585176401,0.5714285714285714
7,2.578388949671076,0.42857142857142855
7,2.6104059252204084,0.2857142857142857
7,2.6412297114544643,0.42857142857142855
7,2.7368838537956517,0.5714285714285714
7,2.7696799083950796,0.7142857142857143
7,2.7757605105000187,0.5714285714285714
7,2.8441657457134575,0.42857142857142855
7,2.88734899959742,0.2857142857142857
7,3.0300553681625217,0.42857142857142855
7,3.0513426788060856,0.5714285714285714
7,3.051864494373688,0.7142857142857143
7,3.0731986211796745,0.5714285714285714
7,3.221344974998753,0.7142857142857143
7,3.332526335018429,0.5714285714285714
7,3.411925984571299,0.42857142857142855
7,3.42284067498594,0.2857142857142857
7,3.4377428757522344,0.42857142857142855
7,3.521432553376654,0.5714285714285714
7,3.5571620840070266,0.7142857142857143
7,3.583559408326017,0.5714285714285714
7,3.635907271494339,0.42857142857142855
7,3.653161869203773,0.2857142857142857
7,3.6601119489064033,0.42857142857142855
7,3.7028814735096467,0.5714285714285714
7,3.7157517882506395,0.42857142857142855
7,3.961411569492422,0.5714285714285714
7,3.972539082607725,0.7142857142857143
7,4.003090623366713,0.5714285714285714
7,4.119172772374584,0.7142857142857143
7,4.260854145484419,0.5714285714285714
7,4.266313211089145,0.42857142857142855
7,4.310957485393841,0.5714285714285714
7,4.418447458781729,0.7142857142857143
7,4.420541861651881,0.5714285714285714
7,4.45413680909253,0.42857142857142855
7,4.506645862374848,0.5714285714285714
7,4.550803649864191,0.42857142857142855
7,4.702841152875549,0.2857142857142857
7,4.8035806837713855,0.42857142857142855
7,4.813958622461789,0.5714285714285714
7,4.846847448646711,0.7142857142857143
7,4.855439090145356,0.5714285714285714
7,4.875806918302073,0.7142857142857143
7,4.905384753009019,0.8571428571428571
7,4.91351923268857,0.7142857142857143
7,4.932445337290481,0.5714285714285714
7,4.945102468349083,0.7142857142857143
7,5.034927097662017,0.5714285714285714
7,5.0460108864711675,0.7142857142857143
7,5.103106826521225,0.5714285714285714
7,5.22184256182566,0.7142857142857143
7,5.225485541439357,0.5714285714285714
7,5.236038616489165,0.7142857142857143
7,5.249347666218236,0.5714285714285714
7,5.343717619516004,0.42857142857142855
7,5.353790575331789,0.5714285714285714
7,5.388390956162686,0.7142857142857143
7,5.405391672212304,0.5714285714285714
7,5.411175403585111,0.7142857142857143
7,5.474021013080623,0.8571428571428571
7,5.476782240781858,0.7142857142857143
7,5.49491973996283,0.8571428571428571
7,5.508306804198465,0.7142857142857143
7,5.6324075945820775,0.8571428571428571
7,5.713574989685389,1.0
7,5.719765867113963,0.8571428571428571
7,5.73244005688961,0.7142857142857143
7,5.835858876987749,0.5714285714285714
7,5.879533768381111,0.42857142857142855
7,5.957968045019397,0.2857142857142857
7,5.992475421000688,0.14285714285714285
7,5.996968434267452,0.2857142857142857
