N,pe_human_pred,pe_mouse_pred,pe_human_fit,pe_mouse_fit,C_human_pred,C_mouse_pred,C_human_fit,C_mouse_fit
3.4705410821643286,0.5330429525747238,0.6280665669774302,0.5657952022972608,0.6339686173143552,0.0031526719732557495,0.04785492587445361,0.012527179386867093,0.052423929173273986
3.4983967935871743,0.531309182133961,0.6271735295356501,0.5643447830900439,0.6331287326159997,0.0028302979024001917,0.04718236485752547,0.011979433500977299,0.051760559603669654
3.52625250501002,0.5295746554864957,0.6262796237461298,0.5628932619050812,0.632288038535296,0.002525209673060136,0.04651407767033544,0.011443630064842059,0.05110093844530006
3.5541082164328657,0.5278394142232065,0.6253848548770501,0.5614406627922073,0.6314465394107965,0.002237429377761835,0.04585007779615746,0.01091979651627284,0.05044507752815086
3.5819639278557114,0.526103500003919,0.6244892282193832,0.5599870098745607,0.6306042395999129,0.0019669778662082527,0.04519037864792841,0.01040795970459274,0.049792988628878154
3.609819639278557,0.5243669545534255,0.6235927490867873,0.5585323273470225,0.6297611434788412,0.0017138747419276346,0.04453499356766788,0.00990814588760447,0.049144683470356276
3.637675350701403,0.5226298196574912,0.622695422815499,0.5570766394746449,0.6289172554424874,0.0014781383591205843,0.04388393582590022,0.009420380728619948,0.0485001737212295
3.6655310621242485,0.5208921371588479,0.6217972547642249,0.5556199705910702,0.6280725799043911,0.0012597858197074263,0.043237218621078766,0.008944689293554298,0.047859470995463615
3.693386773547094,0.5191539489531758,0.6208982503140327,0.5541623450969396,0.6272271212966489,0.0010588329705729649,0.04259485507901195,0.00848109604808478,0.047222586851898285
3.72124248496994,0.517415296985076,0.6199984148682398,0.5527037874582925,0.6263808840698363,0.0008752944010141928,0.04195685825229223,0.008029624854871242,0.04658953279380251
3.7490981963927856,0.5156762232440303,0.6190977538523016,0.551244322204956,0.6255338726929295,0.0007091834403881725,0.04132324111972574,0.00759029897084651,0.04596032026843022
