gene_symbol,NE_pluripotency_score,E8_self_renewal_score
SLC25A5,1.0,-0.4366031325193185
PACS2,1.0,-0.034965757380333
ZNF676,1.0,0.3244164214129343
FBXO31,1.0,-0.1991882659297652
OLFML2B,1.0,0.2590801329187142
GRK6,1.0,0.289611046244184
COL18A1,1.0,-0.012221786397838
EIF3L,1.0,0.2730646760448638
IPO8,1.0,0.1822628080707791
EXT2,1.0,0.342379948789849
CONTROL772,1.0,-0.1954445714995731
ZSWIM4,1.0,-0.109522650800941
KCNH6,1.0,0.1918686648169437
DAZAP1,1.0,0.4889189307620539
PHF21B,1.0,-0.043958553971691
HCAR2,1.0,0.0927623208877618
SLC29A4,1.0,0.4187833336687093
CCDC149,1.0,-0.1297658323413507
SHISA3,1.0,0.1748602375759146
RWDD2A,1.0,0.3200407227863667
CPLX2,1.0,0.4991925715271366
TSPAN6,1.0,-0.1352276979078035
GRM7,1.0,0.5175141091457521
CNOT4,1.0,-0.3643345680322409
B4GALT7,1.0,0.3366583421055941
OR2Z1,1.0,-0.0499606463702269
KIAA1468,1.0,0.4264547659291128
ATF4,1.0,-0.3771120225871366
KCNN4,1.0,0.2638115912243667
TOB2,1.0,-0.4989116546124995
L1TD1,1.0,0.0867702609582814
SNRPF,1.0,-0.1933969516943589
NIPBL,1.0,-0.5274773525374035
PRR16,1.0,0.0048578739041836
PITX3,1.0,-0.2699391192705241
CONTROL710,1.0,0.0765991767666421
SPANXA2,1.0,0.3816733549109805
TOX3,1.0,-0.5253805380702642
ANKAR,1.0,0.2599541268539051
CREBBP,1.0,0.1438993955032899
TMEM254,1.0,0.3861458974501597
MYLK2,1.0,0.0062767412459196
SLC39A2,1.0,-0.5774497509117651
RNF7,1.0,-0.2855945376277283
DNMT3B,1.0,0.3457459347688653
MAP2K6,1.0,-0.1855957474944144
CYP4F22,1.0,-0.5232369373233622
C10ORF82,1.0,-0.4420310437532949
C7ORF34,1.0,-0.2186109616192768
B3GAT3,1.0,0.1298077148455394
HLA-DOA,1.0,-0.0777652538319031
PCYT1A,1.0,0.418920535367371
EML3,1.0,-0.469687739803422
TMEM41A,1.0,0.3355830450455517
APC,1.0,0.2314898297077038
ZNF253,1.0,0.2824835079095971
DEDD,1.0,0.3992419556857541
CLN3,1.0,-0.0171986137685431
SPCS1,1.0,-0.0671784463806694
SLC35E2B,1.0,0.0457167122122888
MED29,1.0,0.1773117119094386
MLPH,1.0,0.146276275541758
DEPDC1B,1.0,0.2726832065858734
CARD8,1.0,0.5338551540097932
FAM19A2,1.0,0.1282205983314947
ARID3B,1.0,-0.2797416487606669
FZD9,1.0,0.3142337500197886
SMOC1,1.0,-0.2445059415904815
CCDC13,1.0,0.5317704468901441
SART1,1.0,0.4589044084071109
PAQR6,1.0,-0.2938137687037331
CLDN8,1.0,0.1689024983718252
KIR2DL3,1.0,0.0756014680818354
YWHAB,1.0,-0.3346584927221664
CXCR5,1.0,0.1498444134668295
WDR20,1.0,0.0362177173096805
THBS3,1.0,0.1646975709113789
GAB3,1.0,0.2281397627908973
HEYL,1.0,-0.0749864956197066
ACY3,1.0,0.2944500036316536
HMGB2,1.0,-0.0986207201053786
PHLPP1,1.0,-0.2853348406406313
YWHAQ,1.0,0.1941217967031023
MAGEH1,1.0,0.4038671840429381
ABHD17A,1.0,3.248740206813373e-05
SCAF8,1.0,0.3412705055355174
NID2,1.0,-0.2618666855589324
COPS7B,1.0,-0.0028556472305396
SPEF2,1.0,-0.0875782943955699
RBMXL3,1.0,0.1971376627145321
HN1,1.0,0.0596297388861715
ADGRG3,1.0,-0.2100255354074715
UCP2,1.0,-0.4210925963457634
LY75,1.0,0.0973422330729548
CCDC112,1.0,0.3536602766420006
UGT2A2,1.0,0.3906918532672949
SMC1A,1.0,0.193333707765564
CHRNA7,1.0,-0.1655004025622523
