gene_symbol,identity_score,fitness_score
2310039H08RIK,0.6967,-0.3248
2310042D19RIK,-0.1041,-0.6487
2310044G17RIK,0.1436,0.0337
2310045N01RIK,-0.5748,0.1393
2310047M10RIK,0.9613,-0.3725
2310050C09RIK,-0.4855,-0.219
2310057J18RIK,0.7735,0.1488
2310057M21RIK,-0.4686,-0.1735
2310057N15RIK,0.0514,0.4088
2310061I04RIK,0.1749,0.0141
2310061N02RIK,-0.0452,-0.0141
2310067B10RIK,1.2179,-2.2398
2310079G19RIK,1.1775,-1.3744
2410002F23RIK,0.1358,-0.414
2410004B18RIK,-0.9779,0.0241
2410004P03RIK,0.6668,-1.227
2410012M07RIK,-0.4445,-0.288
2410015M20RIK,-0.2757,1.6336
2410016O06RIK,-0.8175,-0.3845
2410018M08RIK,-2.3348,0.9824
2410066E13RIK,0.0685,-1.1175
2410076I21RIK,1.9372,-1.0259
2410089E03RIK,0.2677,-0.9101
2410124H12RIK,0.5879,-0.3491
2410127L17RIK,1.251,3.7116
2410131K14RIK,0.3108,-0.3285
2410137M14RIK,0.0382,-0.1746
2510002D24RIK,0.4206,0.0572
2510003E04RIK,0.1166,-0.5175
2510009E07RIK,-0.9588,0.0619
2510039O18RIK,-0.1966,-0.1284
2510049J12RIK,-0.3014,0.14
2610002J02RIK,0.0872,-0.5304
2610002M06RIK,-0.6027,-0.1164
2610008E11RIK,0.5878,-0.2417
2610015P09RIK,0.0814,-0.2789
2610018G03RIK,-0.4573,-0.1661
2610020H08RIK,-0.3725,0.0896
2610028H24RIK,0.3942,0.0212
2610034B18RIK,-0.4866,0.5207
2610034M16RIK,-0.8934,0.6499
2610301B20RIK,-0.328,-0.0541
2610301G19RIK,0.6091,-0.5147
2610305D13RIK,-0.1888,0.666
2610318N02RIK,-0.825,0.2645
2610507B11RIK,0.1519,0.171
2610524H06RIK,0.0675,0.439
2610528A11RIK,0.0788,-0.4217
2610528J11RIK,-0.8823,0.3155
2700029M09RIK,-0.3823,-0.541
2700049A03RIK,-1.2785,-2.6122
2700050L05RIK,-0.611,4.0697
2700060E02RIK,-0.1449,1.6327
2700062C07RIK,-0.0311,2.2478
2700081O15RIK,0.1071,-0.0928
2700089E24RIK,-0.3517,0.4214
2700094K13RIK,0.018,0.2935
2700097O09RIK,-0.3399,0.2689
2810004N23RIK,0.5413,2.3597
2810006K23RIK,-0.0107,1.6061
2810007J24RIK,-0.0151,-0.1732
2810021J22RIK,0.7023,0.1043
2810403A07RIK,1.2552,-0.229
2810408A11RIK,0.2587,-0.164
2810408M09RIK,-0.174,1.7713
2810417H13RIK,-0.4686,0.1102
2810428I15RIK,-0.1384,0.4206
2810459M11RIK,-0.064,-0.524
2810474O19RIK,-0.0086,0.6905
2900011O08RIK,-0.0865,-0.0403
2900026A02RIK,-0.615,0.1697
2900092C05RIK,0.4789,0.0225
3010026O09RIK,0.0827,-0.6618
3110001D03RIK,-1.2662,3.9371
3110001I22RIK,-0.0862,-0.4183
3110002H16RIK,-1.8116,0.3371
3110009E18RIK,0.8092,0.0491
3110035E14RIK,0.4124,-0.5646
3110040N11RIK,0.2426,-0.1164
3110043O21RIK,-0.2817,0.0712
3110047P20RIK,-0.8722,0.0897
3110052M02RIK,-0.4957,0.6833
3110057O12RIK,-0.4057,-0.1807
3110062M04RIK,0.2,0.6972
3110079O15RIK,0.2113,0.3272
3110082I17RIK,0.4574,0.41
3110082J24RIK,-0.0863,-0.0876
3300002I08RIK,0.2806,-0.2115
3425401B19RIK,-0.9492,-0.1529
3632451O06RIK,-0.0046,-0.7513
3830403N18RIK,-0.1401,0.8617
3830406C13RIK,0.5397,0.0987
3830417A13RIK,-0.9285,-0.6227
4430402I18RIK,-0.0274,-0.08
4632428N05RIK,0.0797,-0.4761
4632434I11RIK,0.0679,0.1287
4732456N10RIK,0.7253,0.4387
4833403I15RIK,-1.1519,0.0338
4833420G17RIK,-0.2816,-0.3748
4833423E24RIK,-3.2156,1.0169
4833424O15RIK,1.1834,-1.6222
4833427G06RIK,0.1317,-0.0041
4833439L19RIK,-0.0604,0.6504
4921501E09RIK,-0.02,-1.2923
4921504E06RIK,-1.2179,0.6152
4921506M07RIK,0.9974,-0.9056
4921507P07RIK,-0.0112,0.011
4921509C19RIK,-0.4098,-1.2337
4921511H03RIK,-0.1145,0.033
4921517D22RIK,0.2783,-0.9979
4921524J17RIK,-0.3581,0.2899
4921524L21RIK,-0.1157,-0.0543
4921530D09RIK,0.2746,-0.2045
4921530L21RIK,-0.1159,0.1691
4921536K21RIK,-0.0298,-0.5498
4921539E11RIK,-0.2936,0.5153
4922501C03RIK,-0.2433,-0.0523
4922501L14RIK,1.1813,-0.6677
4922502D21RIK,-0.3357,-0.1122
4922505E12RIK,0.1239,-0.8744
4930402F06RIK,-0.3419,-0.149
4930402H24RIK,-0.0728,-0.2491
4930402K13RIK,0.856,-0.3988
4930404A10RIK,-0.1104,-0.1282
4930404N11RIK,1.5858,-0.8176
4930407I10RIK,-1.0823,0.4743
4930412D23RIK,0.5411,-0.8302
4930415F15RIK,-1.395,0.7496
4930415L06RIK,0.0275,-0.2055
4930415O20RIK,0.0566,-0.0359
4930422G04RIK,-0.5397,0.3171
4930427A07RIK,0.156,0.7838
4930428D18RIK,-0.0345,-1.2196
4930430A15RIK,0.5262,0.1808
4930430F08RIK,0.1614,0.0925
4930432K09RIK,-0.0614,-0.2781
4930432K21RIK,-0.5573,-0.2124
4930432M17RIK,-0.6185,0.0658
4930433I11RIK,-0.0992,-0.5508
4930435E12RIK,-1.206,-0.3388
4930444A02RIK,-0.5565,0.0579
4930444G20RIK,0.0198,0.4161
4930444P10RIK,-0.1699,-0.2083
4930447A16RIK,0.0725,-0.8386
4930447C04RIK,-0.086,-0.1998
4930451C15RIK,-1.1937,0.1758
4930451I11RIK,0.1183,-0.0019
4930452B06RIK,0.2805,-1.3734
4930453N24RIK,0.173,-0.5235
4930468A15RIK,0.1098,0.077
4930474N05RIK,-0.2913,-0.2497
4930480E11RIK,-0.184,-0.7632
4930486L24RIK,-0.0022,-0.0425
4930502E18RIK,0.0288,-0.3933
4930503B20RIK,0.7064,-1.5783
4930503E14RIK,-0.4629,-0.0369
4930503L19RIK,-0.5556,0.6938
4930504O13RIK,-0.366,-0.0359
4930505A04RIK,0.5018,-0.428
4930506M07RIK,-0.8519,0.3213
4930511M11RIK,-1.0957,0.196
4930513O06RIK,-1.5491,-0.3456
4930519G04RIK,-0.5831,-0.086
4930522H14RIK,-1.0388,0.4243
4930523C07RIK,1.4206,-1.0203
4930524B15RIK,-0.1938,-0.5953
4930524N10RIK,-0.0743,-0.3563
4930526D03RIK,0.4946,-0.1202
4930529M08RIK,-0.3681,0.0374
4930538K18RIK,0.1048,0.186
4930539E08RIK,-0.3531,-0.5484
4930544D05RIK,-0.2547,0.3266
4930544G11RIK,1.4657,-0.5848
4930547C10RIK,-0.9135,-0.1396
4930548H24RIK,-0.0129,-1.17
4930549C01RIK,0.5625,-1.013
4930550C14RIK,0.1256,-1.1082
4930550L24RIK,-0.0915,-1.6368
4930555G01RIK,0.2156,-0.2778
4930557A04RIK,-0.5846,-0.0514
4930558K02RIK,-0.4829,0.0395
4930563D23RIK,0.0208,-0.642
4930564B18RIK,-0.1371,0.1221
4930564D02RIK,-0.5425,0.0513
4930567H17RIK,0.0867,-0.8961
4930568D16RIK,-0.1298,-0.1849
4930571K23RIK,0.5363,-0.8671
4930578C19RIK,0.8043,-1.1402
4930578I06RIK,-0.3524,-0.7831
4930579F01RIK,-0.3463,0.1607
4930579G24RIK,1.2098,-0.8532
4930590J08RIK,0.564,-0.2576
4930595M18RIK,0.6563,-0.1411
4930596D02RIK,-0.6632,0.4416
4931406B18RIK,0.4882,0.2342
4931406C07RIK,-1.4244,0.3538
4931406P16RIK,-1.7231,-0.078
4931408C20RIK,0.444,-0.4564
4931409K22RIK,-0.1779,-0.5573
4931414P19RIK,-0.3925,0.0669
4931417E11RIK,0.3338,-1.0436
4931423N10RIK,0.8816,0.3605
4931428F04RIK,-0.872,0.1835
4931429I11RIK,-0.0846,-0.5033
4931429L15RIK,-0.9754,-0.5468
4931431F19RIK,0.0454,0.1289
4931440L10RIK,1.2175,-1.2269
4932411E22RIK,-0.0788,-0.3425
4932411N23RIK,-0.4553,-1.147
4932414N04RIK,1.0215,-0.7333
4932418E24RIK,0.4237,0.2851
4932429P05RIK,0.165,0.0367
4932438A13RIK,-0.7013,0.1603
4932438H23RIK,0.9527,-0.4391
4932443I19RIK,0.1844,0.7351
4933402D24RIK,-0.0499,1.3166
4933402E13RIK,-0.3692,-0.5125
4933402J07RIK,0.2514,-0.1553
4933402N03RIK,-0.0976,-0.1498
4933402P03RIK,0.0487,0.0497
4933403O08RIK,-0.2823,-0.9193
4933405L10RIK,-0.169,-0.7859
4933406J08RIK,0.1118,-0.1271
4933406M09RIK,0.2889,-0.7388
4933408B17RIK,-0.3102,-0.8858
4933409G03RIK,-0.5851,-0.1303
4933411G11RIK,0.0252,0.2447
4933411K16RIK,0.6839,-1.2249
4933411K20RIK,-0.3223,0.4243
4933412E24RIK,-0.4328,-0.1309
4933413G19RIK,-0.8247,0.0708
4933415F23RIK,-0.6894,-0.2471
4933416C03RIK,-0.2054,-0.5719
4933417A18RIK,-0.2921,-0.034
4933421I07RIK,-0.9271,0.0874
4933422H20RIK,0.5052,-0.3537
4933425L06RIK,0.4454,-0.6194
4933426M11RIK,-3.8977,0.1284
4933427D06RIK,0.3586,-0.4332
4933427D14RIK,-0.3949,-0.0619
4933427G17RIK,1.8503,-0.3552
4933430I17RIK,1.8832,-0.1184
4933433C11RIK,-0.3913,0.0814
4933434E20RIK,0.5881,0.0202
4933434I20RIK,0.0351,0.1588
4933436I01RIK,0.6253,0.1424
5031414D18RIK,0.04,-0.432
5031439G07RIK,0.5656,-0.4322
5033411D12RIK,0.1035,-0.4833
5330417C22RIK,1.1987,-0.6229
5430401F13RIK,-0.1688,-0.3363
5430402E10RIK,0.1016,-0.0666
5430419D17RIK,-0.1161,0.0152
5430421N21RIK,0.7492,-0.3751
5430427O19RIK,0.7231,-0.7203
5430435G22RIK,-0.9996,0.6328
5530400C23RIK,0.2016,0.12
5730409E04RIK,-0.3325,-0.1837
5730455P16RIK,0.8569,0.047
5730507C01RIK,1.9329,-1.6688
5730508B09RIK,-0.4432,-0.2326
5730559C18RIK,-0.0607,-0.5154
5830403L16RIK,-1.5826,0.0546
5830411N06RIK,-0.1469,-0.7829
5830415F09RIK,-0.2516,0.4013
5830418K08RIK,0.054,0.2662
5830473C10RIK,-0.5443,-0.5112
6030419C18RIK,-0.6604,-0.4844
6030458C11RIK,0.1715,-0.1956
6030468B19RIK,2.1656,-0.4008
6030498E09RIK,0.8444,-0.1495
6330403A02RIK,-0.163,0.2301
6330409D20RIK,-0.8743,0.0354
6330416G13RIK,-0.6072,0.0428
6430531B16RIK,-0.2592,0.1246
6430548M08RIK,-0.1188,0.0579
6430550D23RIK,0.2985,-0.273
6430571L13RIK,0.4563,-0.2507
6430573F11RIK,-1.0124,0.0254
6820408C15RIK,0.0335,-1.2096
7420426K07RIK,0.4688,-1.1841
7420461P10RIK,-0.0335,0.6673
7530416G11RIK,0.6203,-2.2157
8030411F24RIK,-0.2898,-0.327
8030423J24RIK,-0.0118,-1.0369
8030462N17RIK,-0.1363,-0.0134
8430408G22RIK,-0.0902,-0.0977
8430410A17RIK,-0.3349,0.5369
8430419L09RIK,0.2843,-0.3969
8430427H17RIK,-0.1674,-0.3403
9030617O03RIK,0.0014,-0.0297
9030619P08RIK,-0.4049,0.4052
9030624J02RIK,0.5305,0.2771
9130008F23RIK,1.0358,-1.0237
9130011E15RIK,0.315,1.5432
9130019O22RIK,0.6061,-0.2676
9130023H24RIK,0.1362,-0.6369
9130204L05RIK,-0.8855,0.0133
9130401M01RIK,0.0236,0.0661
9130409I23RIK,-0.2537,0.0619
9230104L09RIK,-0.3661,0.1764
9230110C19RIK,-1.3259,-0.5873
9230110F15RIK,0.048,-0.3649
9230112D13RIK,0.3142,-0.2922
9330159F19RIK,-0.5439,-0.9291
9330182L06RIK,-0.4971,0.0785
9330182O14RIK,-0.0235,-0.3533
9430007A20RIK,-0.1229,-0.4816
9430015G10RIK,0.509,-0.1698
9430016H08RIK,-0.4046,0.1225
9430020K01RIK,-0.8421,-0.3045
9430023L20RIK,0.4131,-1.239
9430038I01RIK,0.267,-0.4178
9430069I07RIK,0.3533,0.0139
9530002B09RIK,-0.0434,-0.139
9530003J23RIK,0.7877,-1.6506
9530053A07RIK,0.2784,-0.002
9530068E07RIK,-0.0,-0.0556
9530077C05RIK,0.5882,-0.2764
9630033F20RIK,0.2204,-0.4262
9830107B12RIK,-0.5248,-0.1122
9830147E19RIK,0.955,-0.9184
9930012K11RIK,-0.559,-0.1218
9930013L23RIK,0.4574,-0.6685
9930111J21RIK1,-0.1209,0.1284
9930111J21RIK2,0.0383,0.9777
A,-0.4934,-0.5819
A130010J15RIK,1.5338,0.0593
A1BG,0.1871,-1.0309
A1CF,-0.0545,0.0342
A230046K03RIK,0.1992,1.2708
A230050P20RIK,0.8331,0.1605
A230065H16RIK,-0.2685,0.0808
A2M,1.5651,-1.0522
A330021E22RIK,0.1254,-0.8857
A330050F15RIK,-0.6677,-0.6471
A330070K13RIK,-1.2125,0.4265
A3GALT2,0.1208,-0.3661
A430005L14RIK,-0.1946,-0.4773
A430078G23RIK,0.0401,-0.3433
A430105I19RIK,0.4256,-0.959
A4GALT,-0.8333,-0.0627
A4GNT,1.0572,-1.1916
A530016L24RIK,-0.223,-0.682
A530054K11RIK,0.1009,-0.9759
A530064D06RIK,0.1148,-0.5061
A630001G21RIK,-1.2231,0.1532
A630007B06RIK,-0.2589,-0.2199
A630023A22RIK,-0.3621,-1.57
A630033H20RIK,0.092,-0.1226
A630073D07RIK,0.0442,0.1064
A630076J17RIK,-0.949,0.5212
A630095E13RIK,-0.0916,0.1056
A630095N17RIK,-1.6161,-0.3977
A730017C20RIK,0.9764,-1.6661
A830010M20RIK,-0.3053,0.1549
A830018L16RIK,0.8547,-0.124
A830080D01RIK,1.5517,-0.0545
A930009A15RIK,-0.7673,0.2031
A930018P22RIK,-0.1803,0.0134
AA415398,-0.5647,0.2642
AA467197,-0.6479,0.2176
AA792892,0.6056,-0.0354
AA986860,0.4019,-0.2392
AA987161,-0.3365,0.0142
AAAS,-1.0265,0.1895
AACS,-0.1325,-0.6903
AADAC,0.1321,-0.0967
AADACL2,0.2146,-0.4029
AADACL3,0.651,-1.1219
AADAT,-0.116,-0.1946
AAED1,0.6767,-0.2585
AAGAB,-0.0693,0.3751
AAK1,0.2934,-1.1551
AAMDC,-0.6025,-0.5414
AAMP,-0.1555,2.1209
AANAT,-0.3892,-0.1058
AAR2,0.7157,0.5877
AARD,-0.9092,0.3769
AARS,-0.26,5.0522
AARS2,0.0753,4.2391
AARSD1,0.0645,0.2861
AASDH,1.1181,0.3146
AASDHPPT,0.031,3.1849
AASS,0.319,-2.0351
AATF,0.077,1.5464
AATK,-0.5596,-0.0326
AB099516,-1.1269,0.6306
AB124611,-0.3001,0.0484
ABAT,-0.748,0.0736
ABCA1,1.0358,-1.0201
ABCA12,-1.2077,0.0011
ABCA13,-0.0625,-0.0721
ABCA14,-0.1796,0.478
ABCA15,0.1611,-0.5367
ABCA17,-0.354,-0.1453
ABCA2,0.3732,-0.0831
ABCA3,0.3133,-1.0934
ABCA4,-0.4421,0.3846
ABCA5,1.916,-0.5438
ABCA6,-0.7602,0.0073
ABCA7,-0.1492,-0.1675
ABCA8A,-0.2324,0.2905
ABCA8B,-0.2241,-0.0384
ABCA9,-0.3589,-1.2635
ABCB10,-0.0539,-0.0586
ABCB11,2.7995,-0.997
ABCB1A,1.097,-1.0217
ABCB1B,-0.2588,-0.7903
ABCB4,0.5084,-0.0357
ABCB5,-0.0588,-0.236
ABCB6,0.1918,-0.0644
ABCB7,-0.7937,2.2218
ABCB8,0.7906,-3.2755
ABCB9,0.7281,-0.703
ABCC1,-0.591,-0.4277
ABCC10,0.0413,-0.36
ABCC12,1.2149,-2.2044
ABCC2,-0.1902,0.0691
ABCC3,0.6289,-0.2603
ABCC4,0.3509,-1.2405
ABCC5,-0.0837,0.1144
ABCC6,1.2559,-1.2323
ABCC8,0.0703,-0.6733
ABCC9,0.3159,-0.6791
ABCD1,0.1243,-0.5322
ABCD2,0.3432,-1.2103
ABCD3,0.2187,-1.2465
ABCD4,-0.108,0.2283
ABCE1,0.3814,0.7177
ABCF1,-0.1029,3.9268
ABCF2,-0.3359,2.1659
ABCF3,0.2737,-0.5147
ABCG1,-0.2482,-0.0009
ABCG2,-0.1753,-0.4087
ABCG3,-0.8863,0.1027
ABCG4,0.2229,-0.2575
ABCG5,-0.4884,0.105
ABCG8,0.4702,-0.2373
ABHD10,-0.2221,0.1631
ABHD11,-0.6142,0.8811
ABHD12,0.1094,-0.5671
ABHD12B,0.6936,-0.2874
ABHD13,0.1371,-0.289
ABHD14A,0.3792,-0.6527
ABHD14B,0.0459,0.1813
ABHD15,0.1906,0.0719
ABHD16A,-0.3044,0.1363
ABHD16B,-0.1924,-0.5257
ABHD17A,1.9587,-0.3369
ABHD17B,0.0225,-0.1785
ABHD17C,0.3038,0.0107
ABHD2,0.3973,-0.5062
ABHD3,-1.0247,-0.5259
ABHD4,-1.2279,0.1924
ABHD5,-0.1385,0.0208
ABHD6,-0.7958,-0.3308
ABHD8,1.1007,0.019
ABI1,0.9946,0.3365
ABI2,0.3202,-0.1605
ABI3,-0.0671,-0.8146
ABI3BP,-0.3038,-0.1694
ABL1,-0.6628,-0.193
ABL2,-0.1247,0.1122
ABLIM1,-0.6987,0.6252
ABLIM2,0.5867,-0.813
ABLIM3,0.0927,0.4836
ABO,-2.1364,-0.0274
ABR,0.012,-1.3335
ABRA,-0.2695,-0.1439
ABRACL,-0.2098,-0.269
ABT1,0.1245,4.9579
